"1" "2" "3" "4" "5" "6" "7"
"NA19098.1.A01" 0.443401987279808 0.000424526724025829 0.029122078765576 0.00085438061056196 0.156890153125361 0.369198761171386 0.000108112323281363
"NA19098.1.A02" 0.521587413269473 0.000871052386766323 0.000154978796930733 0.000101759434100264 0.20591667273505 0.271274609527704 9.35138499756265e-05
"NA19098.1.A04" 0.47340841226693 0.011071968121592 0.0597223297866499 0.000345876532148885 0.0698026381867628 0.356313168167159 0.0293356069387577
"NA19098.1.A05" 0.50520016716878 0.0299183426964513 0.0208121063097615 0.000405145637088982 0.106201410287104 0.32530913646377 0.0121536914370437
"NA19098.1.A06" 0.547378723047863 0.00267238914597168 0.0162381245759114 0.000321345292011813 0.107996688920647 0.275152995909329 0.0502397331082657
"NA19098.1.A07" 0.507174940299735 0.000808650167218315 0.0180036219006754 0.000176496503812469 0.181651968186814 0.292040736882833 0.000143586058911751
"NA19098.1.A08" 0.442300607780207 0.0663443401454987 0.0151542588959625 0.0106437981646933 0.180431545566379 0.245034939803988 0.0400905096432721
"NA19098.1.A09" 0.514131669770786 0.000564565635043789 0.0172541429413501 0.000133180144051734 0.133662887094464 0.333908397788059 0.000345156626246393
"NA19098.1.A10" 0.484311868905773 0.0585529513901486 0.0259326290199367 0.0154088304541616 0.120432343113332 0.245804634039583 0.0495567430770658
"NA19098.1.A11" 0.496587422507741 0.000774091876947696 0.0393777252888211 0.000431770791732563 0.109591411980588 0.352679676177432 0.000557901376736944
"NA19098.1.A12" 0.552957253885198 0.000294126692918793 0.00036009993759826 0.000117405580357164 0.116668802866683 0.329333791273075 0.000268519764169124
"NA19098.1.B01" 0.52426962059952 0.0446348067109211 0.000135331790565084 0.000515818107377837 0.185471039213492 0.2430386385942 0.00193474498392445
"NA19098.1.B02" 0.508682536112748 0.0183065743006547 0.0204993487882008 0.000285887293348876 0.132059627758196 0.314135884315037 0.00603014143181512
"NA19098.1.B03" 0.41932392942761 0.000711172703621616 0.0453356969102049 0.00999594100426905 0.122243217383538 0.384846083812851 0.0175439587579047
"NA19098.1.B05" 0.50754057297452 0.000755781882830181 0.026844859160235 0.0086156312350884 0.105980615724976 0.320306390606197 0.0299561484161534
"NA19098.1.B06" 0.52324841832221 0.00245770913629028 0.0147798349032773 0.0420836017767255 0.0812946765748255 0.317625718394716 0.0185100408919559
"NA19098.1.B07" 0.561780545050077 0.00729634583221049 0.00149085432036077 0.000129820783542663 0.154900547878728 0.273718047787747 0.00068383834733351
"NA19098.1.B08" 0.500230668776158 0.0176386922701977 0.000162882238043441 0.0174704005122725 0.127671675148248 0.296350233155851 0.04047544789923
"NA19098.1.B09" 0.418313021008466 0.000560173139557129 0.0674544460724967 0.0182390304731537 0.0799195429819237 0.394215606407913 0.0212981799164899
"NA19098.1.B11" 0.487402775366452 0.00115679620905966 0.0622859321677885 0.00494026637282023 0.0684987454674725 0.356444312744664 0.0192711716717439
"NA19098.1.B12" 0.520539472330385 0.0387252270415644 0.0168850752176231 0.0149239920692548 0.105761994502978 0.272896800002961 0.0302674388352333
"NA19098.1.C01" 0.567545884913702 0.00231809025772553 9.3834231564239e-05 0.000488167004854659 0.121623139885642 0.306434013044154 0.00149687066235868
"NA19098.1.C02" 0.553481705852557 0.0312862524783624 0.000189103580918416 0.00277673927162492 0.13208203484175 0.264710929223469 0.0154732347513191
"NA19098.1.C03" 0.485651298638504 0.0493400009762475 0.0150472387844584 0.00431480416887228 0.118624281003888 0.326450296121367 0.000572080306662364
"NA19098.1.C04" 0.549272516752923 0.0159333429721494 0.0241358139417845 0.00373457512997951 0.0779930802941653 0.315218075771187 0.0137125951378112
"NA19098.1.C05" 0.508826960407048 0.00990678065364937 0.0344002292894305 0.025066868650517 0.0634320892882734 0.320707773114621 0.0376592985964609
"NA19098.1.C06" 0.425603980251839 0.000836996384024341 0.198459373826789 0.0450312027803347 0.10610205472056 0.210133548278422 0.013832843758031
"NA19098.1.C07" 0.574181581474077 0.00100694305772665 0.000313764610526985 0.000653010254329472 0.0756243582375049 0.30411173131731 0.0441086110485252
"NA19098.1.C08" 0.509667847392069 0.000260935477707988 0.023123731932984 0.000557663432852431 0.102988029579613 0.360844387421126 0.00255740476364749
"NA19098.1.C09" 0.553507484391332 0.000252871558169897 0.0210588188039753 0.000831169350387142 0.0851828952065301 0.31468791591078 0.0244788447788255
"NA19098.1.C10" 0.606897325676472 0.0199794640678163 0.000198443534867288 0.000292282529276679 0.0956772898545014 0.276537084133045 0.000418110204021365
"NA19098.1.C11" 0.579876574046383 0.0179250300684819 0.00127651418602654 0.0119903430514273 0.0579327019131839 0.262095831196783 0.0689030055377137
"NA19098.1.C12" 0.472520633205306 0.00644746893964555 0.0399693594923535 0.00222896314028255 0.0656030750930509 0.386542337956143 0.026688162173219
"NA19098.1.D01" 0.531492299229871 0.00391917345676723 0.0432911341643369 0.00524815112095006 0.0588728956214604 0.35370637497924 0.00346997142737358
"NA19098.1.D02" 0.563399357518578 0.000676786045776457 0.0373977002081464 0.0171699308241423 0.0452017916096299 0.285814365844916 0.050340067948811
"NA19098.1.D03" 0.597791579132786 0.0159460778541354 8.80855721781472e-05 0.000114019893968949 0.106192841866641 0.279329142229638 0.000538253450652786
"NA19098.1.D04" 0.547637654281293 0.0170014743066731 0.056517679530955 0.014006187900029 0.0816524553029677 0.216926631576396 0.0662579171016859
"NA19098.1.D06" 0.582349774677432 0.0358422240234007 0.00866586598427066 0.0131353782930821 0.0525584904449617 0.207600712251458 0.0998475543253953
