"1" "2" "3" "4" "5" "6"
"NA19098.1.A01" 2.74227436925285e-06 0.0382194981030823 0.510212771463318 0.372661731954048 0.057554707192721 0.0213485490124617
"NA19098.1.A02" 2.8206852496121e-06 0.190045094195164 0.516078210084724 0.195347018666069 0.0985222718871202 4.58448167309808e-06
"NA19098.1.A04" 2.25821407058243e-05 0.00623768563283081 0.441490265574806 0.317483170661121 0.217560458165491 0.0172058378250457
"NA19098.1.A05" 3.47723518618422e-05 0.0199079641875319 0.581988077383462 0.25566085221052 0.12568617316268 0.0167221607039445
"NA19098.1.A06" 0.0115139335457913 0.130622791204929 0.482906661549423 0.135037997516704 0.145138426161043 0.0947801900221096
"NA19098.1.A07" 9.08702971798565e-06 0.142028069017887 0.488971505992792 0.222727642788448 0.146248515361368 1.51798097862326e-05
"NA19098.1.A08" 0.162265413682482 0.328505016096354 0.252292265915541 0.0821090151464777 0.0582425506530909 0.116585738506054
"NA19098.1.A09" 2.83915863879675e-06 0.0127226469610035 0.619408712580734 0.0967069166799755 0.258637091081463 0.0125217935381847
"NA19098.1.A10" 0.141625744204773 0.17508468336122 0.385453744814786 0.0772234165325597 0.0992409047833693 0.121371506303293
"NA19098.1.A11" 5.60515719129884e-06 0.0637493254493438 0.503994420754501 0.229006976634819 0.120084900832788 0.0831587711713564
"NA19098.1.A12" 0.000736904186634207 2.87970138614951e-05 0.653504506244423 0.144585855321448 0.14609648264217 0.0550474545914636
"NA19098.1.B01" 0.0468879025166319 0.204877950045673 0.528232980718629 0.11570733058292 0.0607934212125836 0.0435004149235624
"NA19098.1.B02" 1.02800677926475e-05 0.123003146879547 0.503501792601021 0.121122601093018 0.21541870671162 0.0369434726470013
"NA19098.1.B03" 2.95594097023903e-05 0.150051058063857 0.329609580489062 0.329460264627399 0.0760794358531823 0.114770101556797
"NA19098.1.B05" 0.0619139648141778 0.025421670206134 0.562584178207783 0.15546549622671 0.11026544463334 0.0843492459118546
"NA19098.1.B06" 0.123660523060057 2.60419081179601e-05 0.51173594881322 0.271545671740642 0.0409019596393499 0.0521298548386132
"NA19098.1.B07" 1.90754946010694e-05 0.104302900749257 0.635001109093114 0.130762623358033 0.108514846842663 0.0213994444623319
"NA19098.1.B08" 0.143216763841945 0.150412162619588 0.414682555770251 0.0735406193565001 0.042201919882995 0.175945978528721
"NA19098.1.B09" 0.071053038769968 0.0676729257409988 0.256933980459302 0.217249728503884 0.230488442098127 0.15660188442772
"NA19098.1.B11" 0.057204913237163 0.00642929088176794 0.395227235517193 0.282650644946421 0.182138646157819 0.0763492692596359
"NA19098.1.B12" 0.139059467848581 0.0791367772497345 0.506110918393408 0.0960227879562838 0.111805487181876 0.0678645613701161
"NA19098.1.C01" 0.010534567525173 0.082799893661205 0.589722694193467 0.155880182056131 0.0635875371282565 0.0974751254357675
"NA19098.1.C02" 0.106076445815181 0.121350496144685 0.521661251191417 0.140687550350857 0.045550455135563 0.0646738013622963
"NA19098.1.C03" 0.0150638867393442 0.0599410204982031 0.555855945845586 0.256455850998818 0.0931897562090118 0.0194935397090371
"NA19098.1.C04" 0.0265799451824986 1.151336569398e-05 0.594911427399815 0.263583804689563 0.107241449370293 0.00767185999213548
"NA19098.1.C05" 0.260176871969631 0.0465034602706927 0.328339325204239 0.209229728384232 0.0462606996253222 0.109489914545883
"NA19098.1.C06" 0.263911545739499 0.0700870311600492 0.290144153133334 0.145000802097162 0.161134620030956 0.0697218478389999
"NA19098.1.C07" 0.236682873126219 0.0827395560217147 0.383527437436632 0.0871024082755077 0.0474334630536272 0.162514262086299
"NA19098.1.C08" 3.31835589706049e-06 7.6267711413754e-06 0.530961812260435 0.322542003498668 0.143985599795685 0.00249963931817219
"NA19098.1.C09" 0.029425562394704 1.16156459303372e-05 0.56434003220432 0.19966033646748 0.147432316096198 0.0591301371913673
"NA19098.1.C10" 0.0240442565520413 0.0275640038661855 0.703790514163117 0.147138530936061 0.0864989101620584 0.0109637843205368
"NA19098.1.C11" 0.304774445843334 0.0844739683972982 0.345129515062446 0.100335192445037 0.0219436178511032 0.143343260400782
"NA19098.1.C12" 0.0666067492232367 0.0348732242902772 0.346395924100898 0.33600085897998 0.11808277988285 0.098040463522758
"NA19098.1.D01" 0.12692616354599 3.46868300553262e-05 0.461250181184413 0.344058816978729 0.0513706000648962 0.0163595513959157
"NA19098.1.D02" 0.314748645063745 0.0237093498379228 0.355041358396028 0.13155355926464 0.0444926071292482 0.130454480308417
"NA19098.1.D03" 0.0704032173627614 0.067164439761758 0.6195923520306 0.134334938790576 0.088016788819457 0.0204882632348474
"NA19098.1.D04" 0.22925221956721 0.123745011603927 0.341386819742122 0.127180107648241 0.0799701736466757 0.0984656677918244
"NA19098.1.D06" 0.381037221601934 0.089654880439177 0.29368525435318 0.0678003545961949 0.0406896246777439 0.127132664331769
"NA19098.1.D08" 0.299320729046479 5.2134952757095e-06 0.344511290910527 0.170876645921852 0.0342906234364822 0.150995497189384
"NA19098.1.D09" 9.18255597970911e-06 4.16101727913849e-06 0.525034513040118 0.293863708635107 0.115834314367016 0.0652541203844996
"NA19098.1.D10" 0.045187708075084 6.96815752362998e-06 0.614132636330819 0.183733490307826 0.0671061498860987 0.0898330472426482
"NA19098.1.D11" 1.64094710902093e-05 6.31330827345684e-06 0.428962648833882 0.339000811269406 0.213543235852121 0.018470581265228
"NA19098.1.D12" 0.128312859386092 1.16827600941735e-05 0.67051740335924 0.117187950521471 0.0664786654823412 0.0174914384907617
