"1" "2" "3" "4" "5" "6" "7"
"NA19098.1.A01" 0.249402600620414 0.054749524859209 1.73658919635797e-06 0.143294496666235 0.0786786557185572 0.423461618544576 0.0504113670018133
"NA19098.1.A02" 0.297929733719531 0.241485866130764 6.71200456326779e-06 0.10559971668484 1.99810516241055e-06 0.336945682275151 0.0180302910799877
"NA19098.1.A04" 0.154044075040703 0.0219369313036208 0.17084731054479 0.188288295661801 0.109731629787857 0.352691063542479 0.00246069411874895
"NA19098.1.A05" 0.402798213116104 0.034290617221008 0.0105952019978086 0.123258325744419 0.0663218655503771 0.291435186599006 0.0713005897712785
"NA19098.1.A06" 0.145604290144852 0.120147072602848 0.158721623206396 0.343633999980405 4.82703799028858e-06 0.195676967836805 0.0362112191907032
"NA19098.1.A07" 0.152936146516038 0.20515600051356 0.0670828846523773 0.209208876308153 8.19693103194408e-06 0.342355822797762 0.0232520722810772
"NA19098.1.A08" 0.0527440789130332 0.306793828011561 0.0941007065476869 0.325164944448067 0.0315479994002999 0.102867525083127 0.0867809175962255
"NA19098.1.A09" 0.497660634421393 0.0509067058938253 0.0866851885527851 0.0167763481424582 8.16243797620092e-07 0.253068770208204 0.0949015365375367
"NA19098.1.A10" 0.225237693495924 0.156293698668258 0.111452509574448 0.267717998711493 0.015758469844948 0.113314931589398 0.11022469811553
"NA19098.1.A11" 0.289746776701901 0.0650579197237866 0.0393719852456774 0.211264632620683 0.0507587837235633 0.287878115078857 0.0559217869055314
"NA19098.1.A12" 0.427502307634392 0.00999170597983561 0.0556645259594676 0.204728796380963 3.18449101108849e-06 0.20075120244299 0.101358277111341
"NA19098.1.B01" 0.377400920283053 0.191579329220669 0.0012021280553333 0.187903234133526 0.002607676596201 0.175133148039677 0.06417356367154
"NA19098.1.B02" 0.275826073525402 0.133594492311425 0.155227941335468 0.154698490714723 1.53206710752631e-06 0.210758455039525 0.0698930150063503
"NA19098.1.B03" 1.57573979479898e-05 0.161158825979662 0.0221660938134332 0.313772093941077 0.131011400711713 0.301792400829481 0.0700834273266853
"NA19098.1.B05" 0.405017958551999 0.0220003378414285 0.0511159083260449 0.200398278236877 0.0412334781423041 0.178097459860713 0.102136579040634
"NA19098.1.B06" 0.377144108323402 1.02654331006217e-05 2.94670743945466e-06 0.188661722117739 0.162888649467199 0.193447929730155 0.0778443782209661
"NA19098.1.B07" 0.499520953766834 0.0971703751352019 0.012848575330459 0.121997510001303 2.44051015428563e-06 0.206905668076402 0.0615544771796457
"NA19098.1.B08" 0.192296042831453 0.138708031965723 0.0650206819028132 0.376378622315968 0.0142843471475015 0.0866448685780915 0.12666740525845
"NA19098.1.B09" 2.37521351290384e-06 0.0352391058856051 0.227275268392761 0.300580796600221 0.0625808575804894 0.241629285683522 0.132692310643889
"NA19098.1.B11" 5.20396017283462e-06 0.032147479278171 0.189241082926532 0.347758172899289 0.0920846099478723 0.286214059509568 0.0525493914783938
"NA19098.1.B12" 0.331787967833212 0.0823188211406387 0.106290258351211 0.245288049370428 0.0151704772396049 0.138004812957316 0.08113961310759
"NA19098.1.C01" 0.233352717866662 0.111733562255383 0.0354245161325063 0.355382226709066 9.19193782046192e-05 0.197145975645343 0.0668690820128355
"NA19098.1.C02" 0.35420040771016 0.114374199873472 0.0143316618537717 0.251920710238003 0.054626787398933 0.150649303277225 0.059896929648435
"NA19098.1.C03" 0.417590678113145 0.0524551217155623 3.98532413150656e-06 0.110863476180466 0.0879266227974571 0.261660744268076 0.0694993716011614
"NA19098.1.C04" 0.473689640554377 6.49480825956606e-06 1.93157916387767e-05 0.110692930011396 0.0950313308192884 0.282180511570288 0.0383797764447526
"NA19098.1.C05" 0.0599953879633284 0.0796742659364416 0.0947705898183998 0.404528215565686 0.164103548432077 0.124172802749938 0.0727551895341294
"NA19098.1.C06" 0.255653022837865 0.0461937476389028 0.200641320019009 0.166283859329878 0.163698550498035 0.0702281229162674 0.0973013767600431
"NA19098.1.C07" 0.10367317127214 0.0931707102943297 0.124600676132837 0.469982311587669 0.048614264307626 0.0795200018734035 0.0804388645319953
"NA19098.1.C08" 0.360953511024098 3.0858172807296e-05 0.0130119227321921 0.104845389376398 0.0510881747481075 0.444447119642325 0.0256230243040716
"NA19098.1.C09" 0.327751322953091 1.25364643923836e-05 0.0934148231492799 0.227979098151153 0.0346540119369749 0.249883464930361 0.0663047424147478
"NA19098.1.C10" 0.581067211167169 0.0147618292841743 1.23795028479507e-05 0.136055645105492 0.000363449108067396 0.220401998481341 0.0473374873509081
"NA19098.1.C11" 0.100853280109057 0.0917966476416176 0.127697331037151 0.470659487081176 0.109457237452508 0.0447941615670684 0.054741855111423
"NA19098.1.C12" 9.5067688470387e-06 0.0435797446847351 0.127319131067151 0.350382590609559 0.175698388035535 0.279496899930401 0.0235137389037727
"NA19098.1.D01" 0.259892029299396 0.0159768245664724 1.87936612012888e-05 0.233794777971997 0.20358141255602 0.266202902212876 0.0205332597320371
"NA19098.1.D02" 0.174379142431464 0.0319845194057852 0.113338498443689 0.393089896064845 0.135301403908447 0.0635513502413872 0.0883551895043835
"NA19098.1.D03" 0.3589340014333 0.0977211976195894 0.046262840362966 0.25916998741072 1.04650165205963e-05 0.196808281149946 0.0410932270069575
"NA19098.1.D04" 0.177193783570151 0.0904744609153006 0.160676312703438 0.335005351101972 0.109435077073697 0.0980999418029378 0.0291150728325043
"NA19098.1.D06" 0.0736588854713131 0.0940713073125617 0.18510863527805 0.478978769275538 0.109721041498917 0.0150185053872343 0.0434428557763856
