"1" "2" "3" "4"
"NA19239.1.A01" 0.727004482475071 0.0621003314192899 0.12227964285037 0.0886155432552699
"NA19239.1.A02" 0.594426973250554 0.0443038245467914 0.32546258381988 0.0358066183827742
"NA19239.1.A04" 0.393132001409676 0.324789283164951 0.117589305145827 0.164489410279546
"NA19239.1.A05" 0.888522602393464 0.0271348022234814 0.0110571637248384 0.0732854316582161
"NA19239.1.A06" 0.492584323208967 0.0426026040579442 0.444737599634458 0.0200754730986314
"NA19239.1.A07" 0.499017945678363 0.208264307689274 0.0218648683637541 0.270852878268609
"NA19239.1.A09" 0.469099054835702 0.269327132134215 0.209780267233319 0.0517935457967643
"NA19239.1.A10" 0.215405939122383 0.110682880312402 0.245063125907774 0.428848054657441
"NA19239.1.A11" 0.625998290457143 0.0766833609582689 0.187700375030372 0.109617973554217
"NA19239.1.A12" 0.282165804663197 0.483289397682905 0.136297391770154 0.0982474058837439
"NA19239.1.B01" 0.463649790669117 0.10398193924857 0.266477603745709 0.165890666336604
"NA19239.1.B02" 0.708579079275633 0.0738303877945514 0.133877505758248 0.0837130271715669
"NA19239.1.B03" 0.640978298062832 0.0119174062418866 0.291026864371617 0.0560774313236641
"NA19239.1.B04" 0.662764035364901 0.110728400623728 0.21998200287963 0.00652556113174108
"NA19239.1.B06" 0.00136122324345822 0.622547703671796 0.0441975212444239 0.331893551840322
"NA19239.1.B09" 0.402702742523453 0.371052281858018 0.173192927085801 0.0530520485327274
"NA19239.1.B10" 0.485715888354704 0.0515557664016319 0.208279288881532 0.254449056362132
"NA19239.1.B11" 0.323000292980663 0.616549492544868 0.0595279876674443 0.000922226807023902
"NA19239.1.B12" 0.18143217925856 0.460284643146936 0.193532837173805 0.164750340420699
"NA19239.1.C01" 0.466563920114776 0.136287517876537 0.358970098670512 0.0381784633381749
"NA19239.1.C02" 0.59643474465978 0.0725151330733858 0.325605554344695 0.00544456792213943
"NA19239.1.C03" 0.407440419610468 0.0452697798437414 0.103259466958171 0.444030333587619
"NA19239.1.C04" 0.436202255500341 0.21845827801815 0.170827063242746 0.174512403238763
"NA19239.1.C05" 0.226064384551116 0.247811301415816 0.186240794264887 0.339883519768181
"NA19239.1.C06" 0.721373045751161 0.071256081828745 0.0687920516213999 0.138578820798694
"NA19239.1.C07" 0.645867369700841 0.0379379891374406 0.171084523401457 0.145110117760261
"NA19239.1.C08" 0.547395643355332 0.130093434071974 0.232673610387666 0.0898373121850286
"NA19239.1.C09" 0.559677916216702 0.027001894703594 0.353059867066163 0.0602603220135401
"NA19239.1.C10" 0.607015570944082 0.048154352253558 0.332828367719309 0.0120017090830511
"NA19239.1.C11" 0.643831665820391 0.0823524785829258 0.177783600367401 0.0960322552292827
"NA19239.1.C12" 0.380465449418182 0.239832724327727 0.211544349148928 0.168157477105163
"NA19239.1.D01" 0.210862845448536 0.395055302265209 0.161397891410926 0.232683960875329
"NA19239.1.D02" 0.506315990952357 0.0125234324765951 0.440540341450862 0.0406202351201859
"NA19239.1.D03" 0.36455272418209 0.0164153458068091 0.0245428281868674 0.594489101824233
"NA19239.1.D04" 0.413360783027437 0.2152153487067 0.232968958945919 0.138454909319944
"NA19239.1.D05" 0.259779266082357 0.0337035736391125 0.69974736761354 0.00676979266499046
"NA19239.1.D06" 0.876707770400734 0.0653833956997844 0.00125882294731922 0.0566500109521627
"NA19239.1.D07" 0.399749447188572 0.232758371983401 0.0209395209193453 0.346552659908682
"NA19239.1.D08" 0.373525324714012 0.152454765705902 0.0641536471814585 0.409866262398627
"NA19239.1.D09" 0.00786902128602732 0.904593018187782 0.0613080144656912 0.0262299460604995
"NA19239.1.D10" 0.595558257497975 0.0402088358401217 0.33875555203579 0.0254773546261137
"NA19239.1.D11" 0.539208796073763 0.0123974322316379 0.00163876059971164 0.446755011094887
"NA19239.1.D12" 0.692117367481127 0.024621002121838 0.157405892062341 0.125855738334694
"NA19239.1.E01" 0.0694578392568584 0.88821833739995 0.0415614325462092 0.000762390796982142
"NA19239.1.E02" 0.736454327859156 0.142974308565471 0.0820594578108016 0.0385119057645714
"NA19239.1.E03" 0.484421085462516 0.0163052308293575 0.0299041793112916 0.469369504396835
"NA19239.1.E04" 0.657399842713302 0.00931965479485779 0.0999196103560106 0.23336089213583
"NA19239.1.E05" 0.193504326556622 0.488125750040118 0.0170001981580086 0.301369725245252
"NA19239.1.E06" 0.46752416996418 0.095750498643577 0.432515964103657 0.00420936728858574
"NA19239.1.E07" 0.67040057981614 0.0509088366166264 0.0910839512169003 0.187606632350334
"NA19239.1.E08" 0.616514775198877 0.127252993545666 0.153619630051311 0.102612601204147
"NA19239.1.E09" 0.286274150364014 0.149318030210351 0.530340100387689 0.0340677190379461
"NA19239.1.E11" 0.688430379351138 0.0873124587461108 0.091720761747117 0.132536400155634
"NA19239.1.E12" 0.339306490673102 0.407389201592658 0.227155454950035 0.0261488527842046
"NA19239.1.F01" 0.72362218578636 0.0624841466260024 0.0650760613290913 0.148817606258546
"NA19239.1.F02" 0.405425409839084 0.0439595328771866 0.502580492609934 0.048034564673796
"NA19239.1.F03" 0.396325799363305 0.100616946454437 0.141418897526431 0.361638356655828
"NA19239.1.F04" 0.764665732114801 0.0550906610049708 0.177824427591843 0.00241917928838553
"NA19239.1.F05" 0.00177884514341193 0.938731829228626 0.015255714897693 0.0442336107302686
"NA19239.1.F06" 0.681101664070166 0.0272545302421826 0.256761454466856 0.0348823512207959
"NA19239.1.F07" 0.333996249479347 0.0187821241892227 0.602283017328765 0.0449386090026651
"NA19239.1.F08" 0.765252544232282 0.13541166799499 0.0405327941964856 0.0588029935762426
"NA19239.1.F09" 0.362647835656773 0.356607119512112 0.133010067345917 0.147734977485198
"NA19239.1.F10" 0.357368991241974 0.173159373334598 0.0971958763129832 0.372275759110445
"NA19239.1.F11" 0.221197245265985 0.0982412142196013 0.0710782394378513 0.609483301076562
"NA19239.1.F12" 0.758723974379487 0.0326433464233392 0.201354390567583 0.00727828862959112
"NA19239.1.G01" 0.186486606030457 0.631368004508753 0.00688121849979367 0.175264170960996
"NA19239.1.G04" 0.745861958050093 0.111763684917176 0.0285090763170217 0.113865280715709
"NA19239.1.G05" 0.164319146238462 0.162451314648997 0.18537902802229 0.487850511090251
"NA19239.1.G06" 0.398684368554384 0.0515405392815545 0.483083147436304 0.0666919447277575
"NA19239.1.G07" 0.617951357946265 0.0522171412406569 0.232437742213517 0.0973937585995612
"NA19239.1.G08" 0.658171117863157 0.00112820832685116 0.134928668081862 0.20577200572813
"NA19239.1.G09" 0.353582828013569 0.253116467943246 0.199947613073039 0.193353090970146
"NA19239.1.G10" 0.286669875169735 0.333368803309302 0.191139819904747 0.188821501616215
"NA19239.1.G11" 0.667489827755044 0.0435551963156623 0.24535072858859 0.0436042473407036
"NA19239.1.G12" 0.284974144401909 0.501727818731854 0.0892053166973466 0.124092720168891
"NA19239.1.H01" 0.1881270691253 0.387256443449412 0.212146909617287 0.212469577808002
"NA19239.1.H02" 0.216557032040787 0.219447808524855 0.111328348798371 0.452666810635987
"NA19239.1.H03" 0.351966141745153 0.508841281482441 0.0204494475634336 0.118743129208973
"NA19239.1.H04" 0.00414444514978621 0.103966707807043 0.0618868738555191 0.830001973187652
"NA19239.1.H06" 0.472321370972057 0.184866087035232 0.188330864543898 0.154481677448813
"NA19239.1.H08" 0.138358211137145 0.191126617689365 0.165437324958011 0.505077846215478
"NA19239.1.H09" 0.362655556469421 0.401229809160133 0.0699088022546624 0.166205832115784
"NA19239.1.H11" 0.419565600547048 0.0549476421367522 0.140013244123593 0.385473513192606
