"1" "2"
"NA19098.1.A01" 0.649487846377018 0.350512153622982
"NA19098.1.A02" 0.705892511509318 0.294107488490682
"NA19098.1.A03" 0.706051335095056 0.293948664904944
"NA19098.1.A04" 0.665759581630268 0.334240418369732
"NA19098.1.A05" 0.698304166814618 0.301695833185382
"NA19098.1.A06" 0.6121381349212 0.3878618650788
"NA19098.1.A07" 0.694312840855112 0.305687159144888
"NA19098.1.A08" 0.617936444035923 0.382063555964077
"NA19098.1.A09" 0.682379530749379 0.317620469250621
"NA19098.1.A10" 0.530033157030771 0.469966842969229
"NA19098.1.A11" 0.653738072609227 0.346261927390773
"NA19098.1.A12" 0.736381236786281 0.263618763213719
"NA19098.1.B01" 0.69731836535431 0.30268163464569
"NA19098.1.B02" 0.739483961084092 0.260516038915908
"NA19098.1.B03" 0.532321363102965 0.467678636897035
"NA19098.1.B05" 0.694975086807491 0.305024913192509
"NA19098.1.B06" 0.68025649937392 0.31974350062608
"NA19098.1.B07" 0.716332301645358 0.283667698354642
"NA19098.1.B08" 0.480798070261731 0.519201929738269
"NA19098.1.B09" 0.598759981593095 0.401240018406905
"NA19098.1.B10" 0.68446793027309 0.31553206972691
"NA19098.1.B11" 0.63291649108511 0.36708350891489
"NA19098.1.B12" 0.67908976115733 0.32091023884267
"NA19098.1.C01" 0.62668701516317 0.37331298483683
"NA19098.1.C02" 0.650166844770185 0.349833155229814
"NA19098.1.C03" 0.728875696679065 0.271124303320935
"NA19098.1.C04" 0.660558425375707 0.339441574624293
"NA19098.1.C05" 0.634042164228702 0.365957835771298
"NA19098.1.C06" 0.697481335132892 0.302518664867108
"NA19098.1.C07" 0.547748906014366 0.452251093985634
"NA19098.1.C08" 0.729086303264841 0.270913696735159
"NA19098.1.C09" 0.663348010623379 0.336651989376621
"NA19098.1.C10" 0.721297487086702 0.278702512913298
"NA19098.1.C11" 0.530066672814889 0.469933327185111
"NA19098.1.C12" 0.613856303888082 0.386143696111918
"NA19098.1.D01" 0.675186026029225 0.324813973970775
"NA19098.1.D02" 0.607099762489514 0.392900237510486
"NA19098.1.D03" 0.709890299849571 0.290109700150429
