"1" "2" "3"
"NA19239.1.A01" 0.394246251549288 0.0694186170944881 0.536335131356224
"NA19239.1.A02" 0.81477174538039 0.0195340938925774 0.165694160727033
"NA19239.1.A04" 0.579764839547467 0.212083473046326 0.208151687406207
"NA19239.1.A05" 0.882281910141472 0.117365188179328 0.000352901679200059
"NA19239.1.A06" 0.206693627498625 0.000185606774623735 0.793120765726752
"NA19239.1.A07" 0.397801340550341 0.462710011669453 0.139488647780206
"NA19239.1.A09" 0.566100656173642 0.176051142475567 0.257848201350791
"NA19239.1.A10" 0.437732811803343 0.414973941049006 0.147293247147651
"NA19239.1.A11" 0.618448869417781 0.0933260928499099 0.288225037732309
"NA19239.1.A12" 0.449939580501607 0.323085734728078 0.226974684770315
"NA19239.1.B01" 0.547830135128248 0.158154341243426 0.294015523628326
"NA19239.1.B02" 0.777273488666562 0.000236363172704829 0.222490148160733
"NA19239.1.B03" 0.239982274766964 0.044208994048477 0.715808731184559
"NA19239.1.B04" 0.449839486633327 0.0224833445196281 0.527677168847045
"NA19239.1.B06" 0.000253847814542423 0.995384228815606 0.00436192336985203
"NA19239.1.B09" 0.481484962950164 0.24643272176993 0.272082315279906
"NA19239.1.B10" 0.201189639763489 0.298315334091774 0.500495026144737
"NA19239.1.B11" 0.499474247709258 0.405008906016868 0.0955168462738737
"NA19239.1.B12" 0.139747837918976 0.500466008373952 0.359786153707072
"NA19239.1.C01" 0.76749901572548 0.111715703675403 0.120785280599117
"NA19239.1.C02" 0.343925229379379 0.0533936458853563 0.602681124735265
"NA19239.1.C03" 0.417420367975125 0.427721522754711 0.154858109270164
"NA19239.1.C04" 0.712325023664016 0.12107730860167 0.166597667734314
"NA19239.1.C05" 0.700101798117575 0.29980575362538 9.24482570442463e-05
"NA19239.1.C06" 0.116489203893106 0.283102445224125 0.600408350882769
"NA19239.1.C07" 0.803295030234211 0.143841706795904 0.0528632629698848
"NA19239.1.C08" 0.671152781309237 0.0326126065034067 0.296234612187356
"NA19239.1.C09" 0.421791710443303 0.0109664132341236 0.567241876322573
"NA19239.1.C10" 0.674006351809676 0.00636504207385944 0.319628606116464
