"1" "2" "3"
"NA19239.1.A01" 0.82381801211882 0.118016911978122 0.0581650759030575
"NA19239.1.A02" 0.8894298815813 0.0584311572564442 0.0521389611622553
"NA19239.1.A04" 0.554433350746909 0.17977447921697 0.26579217003612
"NA19239.1.A05" 0.900694857634628 0.0626789101655618 0.0366262321998106
"NA19239.1.A06" 0.896858619357007 0.0521702860612867 0.0509710945817062
"NA19239.1.A07" 0.538965756812059 0.289774768219206 0.171259474968735
"NA19239.1.A09" 0.700284554915195 0.0680340455647346 0.23168139952007
"NA19239.1.A10" 0.476392653758556 0.430793872443717 0.092813473797727
"NA19239.1.A11" 0.793879629387358 0.137272116879292 0.0688482537333497
"NA19239.1.A12" 0.501574586012927 0.111388542000894 0.387036871986179
"NA19239.1.B01" 0.714424998016215 0.195484779713845 0.0900902222699403
"NA19239.1.B02" 0.836687409373278 0.0920562484856454 0.0712563421410769
"NA19239.1.B03" 0.893064299708009 0.080385157939035 0.0265505423529556
"NA19239.1.B04" 0.867480941796167 0.0303064073135637 0.10221265089027
"NA19239.1.B06" 0.180719508169478 0.324596250383477 0.494684241447045
"NA19239.1.B09" 0.631605044973676 0.0674001782498146 0.300994776776509
"NA19239.1.B10" 0.677180408848619 0.274422227673561 0.0483973634778194
"NA19239.1.B11" 0.500829803699061 0.00132387092048968 0.49784632538045
"NA19239.1.B12" 0.459042787145816 0.162514122814168 0.378443090040017
"NA19239.1.C01" 0.813678954644738 0.0633792857509482 0.122941759604313
"NA19239.1.C02" 0.89348933176435 0.0321916868947189 0.0743189813409307
"NA19239.1.C03" 0.514726643551622 0.450330261550845 0.034943094897533
"NA19239.1.C04" 0.628527450154934 0.18731123730692 0.184161312538147
"NA19239.1.C05" 0.448531722982413 0.360798624838014 0.190669652179572
"NA19239.1.C06" 0.773027939915564 0.150347056349477 0.0766250037349588
"NA19239.1.C07" 0.803093312394573 0.154087662372949 0.0428190252324775
"NA19239.1.C08" 0.775172891939622 0.111689597006493 0.113137511053885
"NA19239.1.C09" 0.874028072919909 0.0911190324941033 0.0348528945859878
"NA19239.1.C10" 0.904518742096278 0.0415825135198343 0.0538987443838875
"NA19239.1.C11" 0.802318260879434 0.118606938575288 0.0790748005452785
"NA19239.1.C12" 0.61585772997721 0.185468390840363 0.198673879182427
"NA19239.1.D01" 0.443770318981769 0.234946393657995 0.321283287360235
"NA19239.1.D02" 0.89577723746304 0.0763525106406256 0.0278702518963342
"NA19239.1.D03" 0.383372507690104 0.603888935393348 0.0127385569165474
"NA19239.1.D04" 0.659470225191935 0.155833292036356 0.18469648277171
"NA19239.1.D05" 0.876770135330571 0.0792531124162145 0.0439767522532146
"NA19239.1.D06" 0.853558608071844 0.0803642216628592 0.0660771702652965
"NA19239.1.D07" 0.451912322668902 0.364341480410835 0.183746196920263
"NA19239.1.D08" 0.455548670366546 0.426464578315828 0.117986751317626
"NA19239.1.D09" 0.255370941942524 0.0115978933915053 0.733031164665971
"NA19239.1.D10" 0.895835338302029 0.0543922806221335 0.0497723810758378
"NA19239.1.D11" 0.525647967445035 0.459108785300398 0.0152432472545669
"NA19239.1.D12" 0.833243769922893 0.131841037052274 0.0349151930248339
"NA19239.1.E01" 0.29364709518973 0.000917056966691725 0.705435847843578
"NA19239.1.E02" 0.827554797455419 0.0412457511727955 0.131199451371785
"NA19239.1.E03" 0.506152284727407 0.479044595236594 0.0148031200359989
"NA19239.1.E04" 0.73566343971675 0.252133400085165 0.0122031601980844
"NA19239.1.E05" 0.295484310367297 0.323507654161779 0.381008035470924
"NA19239.1.E06" 0.876070384661848 0.0260875456905814 0.097842069647571
"NA19239.1.E07" 0.750631315960177 0.196814950465725 0.0525537335740982
"NA19239.1.E08" 0.76916918317954 0.124557102289055 0.106273714531405
"NA19239.1.E09" 0.795686799189643 0.0523591630235917 0.151954037786766
"NA19239.1.E11" 0.784462883209534 0.130695934218312 0.0848411825721531
"NA19239.1.E12" 0.625467063738739 0.0418023716536268 0.332730564607635
"NA19239.1.F01" 0.776405150726752 0.168778464823071 0.0548163844501766
"NA19239.1.F02" 0.87198667463105 0.0722130006125918 0.0558003247563586
"NA19239.1.F03" 0.545167905109971 0.370186077595534 0.0846460172944948
"NA19239.1.F04" 0.929729574887896 0.00777258792286248 0.0624978371892416
"NA19239.1.F05" 0.214301873672323 0.0353850650906811 0.750313061236996
"NA19239.1.F06" 0.901843401803126 0.0643154447625684 0.0338411534343051
"NA19239.1.F07" 0.884056056012247 0.0806460303508678 0.0352979136368855
"NA19239.1.F08" 0.790660413666909 0.0867004411340892 0.122639145199002
"NA19239.1.F09" 0.549312218557435 0.157611847344659 0.293075934097906
"NA19239.1.F10" 0.480563073212082 0.381527326210185 0.137909600577734
"NA19239.1.F11" 0.308807740756854 0.624436546268637 0.0667557129745089
"NA19239.1.F12" 0.930764162828259 0.0254038003499282 0.043832036821813
"NA19239.1.G01" 0.319876034656377 0.180902924605833 0.49922104073779
"NA19239.1.G04" 0.764801600028977 0.133152840365765 0.102045559605258
"NA19239.1.G05" 0.391238186698265 0.472484073081694 0.136277740220041
"NA19239.1.G06" 0.838372696483438 0.106157800773704 0.0554695027428583
"NA19239.1.G07" 0.827977277966111 0.118409969469878 0.0536127525640113
"NA19239.1.G08" 0.777213136334502 0.220816481508991 0.00197038215650651
"NA19239.1.G09" 0.579904793581781 0.211617279904236 0.208477926513983
"NA19239.1.G10" 0.530031086681007 0.198491869646957 0.271477043672037
"NA19239.1.G11" 0.883851388971723 0.0653837502975527 0.0507648607307245
"NA19239.1.G12" 0.461166118990159 0.132611160181273 0.406222720828568
"NA19239.1.H01" 0.465437343675373 0.227868597755029 0.306694058569597
"NA19239.1.H02" 0.371422250821406 0.458259529502512 0.170318219676082
"NA19239.1.H03" 0.452430878146162 0.129496916718692 0.418072205135147
"NA19239.1.H04" 0.110668885942571 0.828624706548722 0.0607064075087065
"NA19239.1.H06" 0.665962480407193 0.181736335667537 0.15230118392527
"NA19239.1.H08" 0.349183499280349 0.499820272576329 0.150996228143322
"NA19239.1.H09" 0.49446132682115 0.181541876622776 0.323996796556074
"NA19239.1.H11" 0.561418993921671 0.391221258798956 0.0473597472793724
