"1" "2" "3"
"NA19239.1.A01" 0.325269936572126 0.629611326371657 0.0451187370562166
"NA19239.1.A02" 0.821161296882547 0.157916175511308 0.0209225276061455
"NA19239.1.A03" 0.725083455429321 0.165713146176403 0.109203398394276
"NA19239.1.A04" 0.701070657775796 0.155944234567431 0.142985107656773
"NA19239.1.A05" 0.932260755190668 0.000199854499272369 0.0675393903100596
"NA19239.1.A06" 0.103750172128585 0.896133536322184 0.000116291549230783
"NA19239.1.A07" 0.487369878922801 0.154501384480757 0.358128736596441
"NA19239.1.A08" 0.136766677411073 0.624431986633014 0.238801335955913
"NA19239.1.A09" 0.604761993541314 0.276254622315969 0.118983384142717
"NA19239.1.A10" 0.524015971908228 0.138928965372248 0.337055062719524
"NA19239.1.A11" 0.612287020287033 0.313902396359929 0.0738105833530373
"NA19239.1.A12" 0.559649555505713 0.188257035185019 0.252093409309267
"NA19239.1.B01" 0.601761413947037 0.284767517485585 0.113471068567378
"NA19239.1.B02" 0.768029515505552 0.231798869098826 0.000171615395621546
"NA19239.1.B03" 0.163565371381066 0.818411115852321 0.0180235127666139
"NA19239.1.B04" 0.415606019147062 0.570232182700404 0.014161798152534
"NA19239.1.B05" 0.87536308216932 0.0999179733830309 0.0247189444476491
"NA19239.1.B06" 0.249379176503104 0.0193027167859943 0.731318106710902
"NA19239.1.B07" 0.60984351838606 0.166408260597029 0.22374822101691
"NA19239.1.B08" 0.771153610210973 0.108035038710712 0.120811351078316
"NA19239.1.B09" 0.509883061589523 0.296457456048159 0.193659482362318
"NA19239.1.B10" 0.243459479153743 0.531899893808431 0.224640627037827
"NA19239.1.B11" 0.633074899640108 0.0579830400427047 0.308942060317187
"NA19239.1.B12" 0.221792168799075 0.394314381217559 0.383893449983365
"NA19239.1.C01" 0.836358327169266 0.0647290729403004 0.0989125998904335
"NA19239.1.C02" 0.259621010628285 0.70268589437618 0.037693094995535
"NA19239.1.C03" 0.487534074068336 0.169236255495346 0.343229670436317
"NA19239.1.C04" 0.903363799743142 0.0375239623182714 0.0591122379385863
"NA19239.1.C05" 0.75668156124976 0.000121412682314873 0.243197026067925
"NA19239.1.C06" 0.182997866773469 0.618759282986588 0.198242850239943
"NA19239.1.C07" 0.881523955898275 0.00894959154064552 0.10952645256108
"NA19239.1.C08" 0.681937703908741 0.301612650497746 0.016449645593513
"NA19239.1.C09" 0.370750376209572 0.623138589936981 0.00611103385344695
"NA19239.1.C10" 0.640469946862833 0.353545808264389 0.00598424487277845
"NA19239.1.C11" 0.760613486481294 0.0800163585023885 0.159370155016317
"NA19239.1.C12" 0.692217053474034 0.189339675825268 0.118443270700697
"NA19239.1.D01" 0.512928504290048 0.117989122021552 0.369082373688401
"NA19239.1.D02" 0.0640830761247731 0.921233636962781 0.0146832869124457
"NA19239.1.D03" 0.501029191434776 0.0573336691023552 0.441637139462869
"NA19239.1.D04" 0.864449959603409 0.0898149671999548 0.0457350731966359
"NA19239.1.D05" 0.470198770962088 0.454818473489615 0.0749827555482976
"NA19239.1.D06" 0.573962372589119 0.234205891132536 0.191831736278345
"NA19239.1.D07" 0.411451754681848 0.029944628290325 0.558603617027827
"NA19239.1.D08" 0.564614001111788 0.0263403830282432 0.409045615859969
"NA19239.1.D09" 0.333798932838358 0.0498487572281043 0.616352309933537
"NA19239.1.D10" 0.145593058264752 0.836020712585171 0.0183862291500777
"NA19239.1.D11" 0.367916235253943 0.309692729102748 0.322391035643309
"NA19239.1.D12" 0.374994077477705 0.575622878631276 0.0493830438910188
"NA19239.1.E01" 0.482011692770737 0.0193582817376412 0.498630025491622
"NA19239.1.E02" 0.863621131545343 0.0712668812542063 0.0651119872004509
"NA19239.1.E03" 0.448218184721457 0.00102932725555748 0.550752488022986
"NA19239.1.E04" 0.200044940272996 0.7595303395763 0.0404247201507032
"NA19239.1.E05" 0.509274135055793 0.00762954449300657 0.483096320451201
"NA19239.1.E06" 0.575252521718108 0.424028340301825 0.000719137980066687
"NA19239.1.E07" 0.927824079250905 0.0168224879339737 0.0553534328151211
"NA19239.1.E08" 0.749340844460498 0.157643881246097 0.0930152742934057
"NA19239.1.E09" 0.80261761067825 0.108768462522659 0.0886139267990905
"NA19239.1.E10" 0.867660231331827 0.100440445615817 0.0318993230523566
"NA19239.1.E11" 0.698704094367282 0.246166680030364 0.0551292256023543
"NA19239.1.E12" 0.578431917699992 0.109167783431934 0.312400298868074
"NA19239.1.F01" 0.892078359241384 0.000678357576204743 0.107243283182411
"NA19239.1.F02" 0.154358259651618 0.790427135868691 0.0552146044796913
"NA19239.1.F03" 0.691772518471923 0.182226599650471 0.126000881877606
"NA19239.1.F04" 0.758394340113773 0.241402610948397 0.000203048937830731
"NA19239.1.F05" 0.214264723397832 0.0228114367697818 0.762923839832386
"NA19239.1.F06" 0.9887562646511 0.0110753444209748 0.000168390927925536
"NA19239.1.F07" 0.310798794096049 0.666407229873796 0.022793976030155
"NA19239.1.F08" 0.8206750841272 0.0533206013119552 0.126004314560845
"NA19239.1.F09" 0.367985083365981 0.402546938002897 0.229467978631122
"NA19239.1.F10" 0.195533244909433 0.342134439380704 0.462332315709863
"NA19239.1.F11" 0.357878281049569 0.182575619097281 0.45954609985315
"NA19239.1.F12" 0.938790526557482 0.0606564120423019 0.000553061400216348
"NA19239.1.G01" 0.592052469209821 0.00085750120856789 0.407090029581611
"NA19239.1.G02" 0.851857863017502 0.0897425380543908 0.0583995989281074
"NA19239.1.G03" 0.834788481251316 0.0580893771069878 0.107122141641697
