"1" "2" "3" "4"
"NA19239.1.A01" 0.768966209413896 0.0101489352016456 0.109678175138269 0.111206680246189
"NA19239.1.A02" 0.75944800366891 0.0176866492717914 0.138551620859471 0.0843137261998281
"NA19239.1.A04" 0.351999902597115 0.398171561610364 0.122544043457665 0.127284492334856
"NA19239.1.A05" 0.442069873061616 0.551942292667501 0.00221832573715209 0.00376950853373076
"NA19239.1.A06" 0.793154441138698 0.14199930022785 0.0135666881719777 0.0512795704614744
"NA19239.1.A07" 0.1998494907953 0.476501387823477 0.214920136136517 0.108728985244706
"NA19239.1.A09" 0.302787262931748 0.47761126258189 0.214345631053878 0.00525584343248355
"NA19239.1.A10" 0.0505882600860758 0.400848417442974 0.171775223767623 0.376788098703328
"NA19239.1.A11" 0.278032364551555 0.462995639746304 0.0683795214051124 0.190592474297028
"NA19239.1.A12" 0.0585427451099814 0.334474003759781 0.492321945012358 0.114661306117879
"NA19239.1.B01" 0.609336575250242 0.0933632401871526 0.169802569519942 0.127497615042663
"NA19239.1.B02" 0.671719554511034 0.1070322492319 0.15367169397176 0.0675765022853058
"NA19239.1.B03" 0.822127762621054 0.00156307515608225 0.085337802366259 0.0909713598566041
"NA19239.1.B04" 0.666740858818239 0.267777426858633 0.038956809044215 0.026524905278913
"NA19239.1.B06" 0.0886494394601132 0.106766222799109 0.449900029361652 0.354684308379125
"NA19239.1.B09" 0.237504288794708 0.421717336281236 0.339305278655766 0.00147309626828993
"NA19239.1.B10" 0.213798541340821 0.457854619102942 0.0606098348992406 0.267737004656997
"NA19239.1.B11" 0.0707477399930975 0.302460083966049 0.623378378849491 0.00341379719136172
"NA19239.1.B12" 0.0871804718281969 0.215317304442673 0.547670323457602 0.149831900271528
"NA19239.1.C01" 0.63118029071064 0.0728128082469124 0.204376481996455 0.0916304190459927
"NA19239.1.C02" 0.820778164687665 0.00283213247356397 0.102952831052077 0.0734368717866937
"NA19239.1.C03" 0.369873592998025 0.124732434962646 0.0871003769115835 0.418293595127746
"NA19239.1.C04" 0.322424872925647 0.500404621147844 0.0632310989086569 0.113939407017852
"NA19239.1.C05" 0.166404048281384 0.461959327229477 0.130685691544424 0.240950932944715
"NA19239.1.C06" 0.338177669168813 0.529386136224351 0.00214851874974124 0.130287675857094
"NA19239.1.C07" 0.315392325426513 0.61352216974239 0.0591987378686399 0.0118867669624565
"NA19239.1.C08" 0.345572521279566 0.52244868267649 0.119832872576922 0.012145923467022
"NA19239.1.C09" 0.619162231888632 0.322019878644703 0.0406321894598225 0.0181857000068431
"NA19239.1.C10" 0.422211295141039 0.460149779398144 0.0886192244163535 0.0290197010444635
"NA19239.1.C11" 0.274104221630326 0.50156050543522 0.124972690547496 0.0993625823869584
"NA19239.1.C12" 0.191994460733267 0.295422160447099 0.352623468728401 0.159959910091233
"NA19239.1.D01" 0.328363136291527 0.00091042408129629 0.454912557589425 0.215813882037752
"NA19239.1.D02" 0.839473338678956 0.00473089708121051 0.0617670584245666 0.0940287058152673
"NA19239.1.D03" 0.264205620841338 0.131462659374568 0.0191808998686956 0.585150819915399
"NA19239.1.D04" 0.409150058404364 0.369655084650576 0.106705122995203 0.114489733949858
"NA19239.1.D05" 0.567374328892565 0.389014722377624 0.00487652858399893 0.038734420145812
"NA19239.1.D06" 0.651882693009856 0.236757725868793 0.0268089995641971 0.0845505815571532
"NA19239.1.D07" 0.0711388503138832 0.548179059767891 0.265181629343598 0.115500460574628
"NA19239.1.D08" 0.0798412736853023 0.55019448776859 0.180951750264384 0.189012488281724
"NA19239.1.D09" 0.0755274030914877 0.0822331505218271 0.839747339417897 0.00249210696878859
"NA19239.1.D10" 0.440017468557336 0.410487075341782 0.0689688457151555 0.0805266103857257
"NA19239.1.D11" 0.0562626562676827 0.466754668771191 0.0221541956882271 0.454828479272899
"NA19239.1.D12" 0.318903909966741 0.486329739301664 0.0449225316489127 0.149843819082682
"NA19239.1.E01" 0.0981968860189294 0.00103237677552687 0.90003013085084 0.000740606354703249
"NA19239.1.E02" 0.552879508075468 0.226539656597331 0.166807854584848 0.0537729807423528
"NA19239.1.E03" 0.256595366533046 0.268909109875651 0.082427517742191 0.392068005849113
"NA19239.1.E04" 0.38256584602223 0.465955798318241 0.000632709102027153 0.150845646557502
"NA19239.1.E05" 0.0375029929470625 0.38979849380119 0.341125599810457 0.23157291344129
"NA19239.1.E06" 0.580266763643995 0.394780680007097 0.0157116068754508 0.00924094947345661
"NA19239.1.E07" 0.339308360187599 0.56927675083681 0.0847536476255145 0.00666124135007675
"NA19239.1.E08" 0.247054867687796 0.635454136650156 0.114131721682101 0.00335927397994653
"NA19239.1.E09" 0.336312649558485 0.527535272627904 0.134705554962704 0.00144652285090616
"NA19239.1.E11" 0.177167375821739 0.599235378002347 0.0817098178294982 0.141887428346416
"NA19239.1.E12" 0.129655747745087 0.423274221064679 0.402730846033912 0.0443391851563211
"NA19239.1.F01" 0.523835512010865 0.225197239676173 0.0982297584399937 0.152737489872968
"NA19239.1.F02" 0.814947545253092 0.00114619472335995 0.082784054744154 0.101122205279394
"NA19239.1.F03" 0.441764426469923 0.134984701043721 0.129771974924266 0.29347889756209
"NA19239.1.F04" 0.544526583551753 0.452065952035847 0.00228619760201885 0.00112126681038096
"NA19239.1.F05" 0.0715861308464574 0.102415144314228 0.689166931334065 0.136831793505249
"NA19239.1.F06" 0.533605337684636 0.442942090469497 0.0123244663105447 0.0111281055353231
"NA19239.1.F07" 0.574245423979422 0.385184674625642 0.0298071558154766 0.0107627455794595
"NA19239.1.F08" 0.348845937321264 0.558499791757115 0.0895177900375661 0.00313648088405429
"NA19239.1.F09" 0.151270623865439 0.50276588986814 0.313881380520893 0.0320821057455279
"NA19239.1.F10" 0.0345793976546427 0.362819843863752 0.1951204293773 0.407480329104306
"NA19239.1.F11" 0.00216799638950676 0.3179368857192 0.107512092914839 0.572383024976455
"NA19239.1.F12" 0.289720868505757 0.592072922741269 0.106284120663316 0.0119220880896579
"NA19239.1.G01" 0.145633024638613 0.00993380672201234 0.740913648611637 0.103519520027737
"NA19239.1.G04" 0.444895152683496 0.460378271747564 0.0207917533415114 0.0739348222274282
"NA19239.1.G05" 0.100189516792782 0.552375604528679 0.0914365423170362 0.255998336361504
"NA19239.1.G06" 0.629417157198468 0.260734970483336 0.00291357567013872 0.106934296648056
"NA19239.1.G07" 0.559277141030658 0.30391290076816 0.0618456547819077 0.0749643034192742
"NA19239.1.G08" 0.397053940501833 0.513925207993733 0.0228808879464981 0.0661399635579355
"NA19239.1.G09" 0.181649558250887 0.501380121203078 0.249239276646487 0.0677310438995478
"NA19239.1.G10" 0.0208818065059548 0.50827587880103 0.36630515034914 0.104537164343875
"NA19239.1.G11" 0.296601895047401 0.592468390160412 0.0747004649069143 0.0362292498852727
"NA19239.1.G12" 0.0365960597073125 0.259456771498086 0.562534202576678 0.141412966217923
"NA19239.1.H01" 0.298112173514999 0.00495484377271878 0.500142397476957 0.196790585235325
"NA19239.1.H02" 0.270744452006382 0.00324025372790725 0.254910591373831 0.47110470289188
"NA19239.1.H03" 0.304561098764854 0.0253647523116456 0.581555214207243 0.0885189347162578
"NA19239.1.H04" 0.00298591243747847 0.307908221597962 0.018957614515069 0.670148251449491
"NA19239.1.H06" 0.274903241604841 0.573676193861507 0.080392984695317 0.0710275798383353
"NA19239.1.H08" 0.192085404163695 0.220576862561111 0.227752114235657 0.359585619039537
"NA19239.1.H09" 0.190209904431204 0.308035793559647 0.355415812483695 0.146338489525455
"NA19239.1.H11" 0.071562479835352 0.483658560463452 0.0821148170261804 0.362664142675016
